keys,fr
talent.chair_de_mana.name,Chair de mana
talent.chair_de_mana.desc,"La surchauffe coûte de la vigueur ; mana ×1,2 ; vigueur max −20."
talent.oeil_de_la_pierre.name,Œil de la pierre
talent.oeil_de_la_pierre.desc,"Rien n'est irrécoltable (÷ 3 au-dessus du seuil) ; vision −20 % ; sent les filons."
ui.feuille.talents,Talents
ui.feuille.talent,"{nom} — {desc}"
ui.ecran.apprendre,Apprendre son talent (Q)
journal.talent_appris,"{nom} t'enseigne : {talent}"
journal.talent_refuse,"il faut une relation d'au moins 75, et une place pour un talent"
ui.commerce.bourse_cachee,?
journal.swap_gratuit,"{nom} change d'arme sans perdre un tick (Râtelier vivant)"
journal.artefact,"un artefact repose sur la dépouille de {nom}"
journal.objet_fini,"cet objet est fini par nature : ni sertissure ni infusion"
journal.pnj_affame,"{n} résident(s) n'ont rien trouvé au garde-manger (humeur −10)"
ui.gestion.pieces,"pièces valides : {n} ({logees} résidents logés)"
journal.tourelle_tire,"une tourelle touche {nom} : {degats}"
ui.specimen.chatoyant," chatoyant"
journal.chatoyant,"un spécimen chatoyant : {espece} !"
ui.registre.chatoyants," · chatoyants vus {n}"
ui.gestion.commande_chatoyant," CHATOYANT"
ui.royaume.fiche,"peuple : {race} · culture : {culture} · capitale {capitale} · taxes {base_rate} %\ndirigeant : {dirigeant}\nvillages connus : {villages}\ndiplomatie : {diplomatie}"
ui.royaume.dirigeant_inconnu,inconnu (capitale non visitée)
creature.pretre.name,Prêtre
function.pretre.name,Prêtre
ui.ecran.ressusciter,"Ressusciter un compagnon (N) — {cout} or"
ui.ecran.ressusciter_rien,(pas d'âme dans le sac)
journal.resurrection_pretre,"{pretre} rappelle {nom} d'entre les morts ({cout} or)"
quest.livraison.text,"Livrez {objet} à quelqu'un de {destination}."
quest.chantier.text,"Bâtissez {count} structures (meubles, stations ou murs) sur votre territoire."
quest.commande_artisan.text,"Façonnez {count} composants ou objets à l'atelier."
quest.enchantement.text,"Façonnez {count} composants pour les Enchanteurs."
quest.elixirs.text,"Distillez {count} potions à l'Alambic."
quest.banquet.text,"Cuisinez {count} plats pour le banquet de la Confrérie."
quest.negoce.text,"Vendez {count} objets aux marchands du pays."
quest.reconnaissance.text,"Reconnaissez {count} nouveaux secteurs de terrain."
quest.arcanes.text,"Le Cercle veut {count} hostiles de moins entre le monde et ses tours."
journal.livraison,"{nom} remet {objet} : la livraison est faite"
ui.ecran.entrainer,S'entraîner (U)
ui.entrainer.titre,"ENTRAÎNEMENT avec {nom} — 20 or × niveau, +10 de potentiel (tu as {or} or)"
ui.entrainer.competence,"{nom} — niveau {niveau} · potentiel {potentiel} · {cout} or"
ui.entrainer.aucune,rien à entraîner ici
journal.entraine,"{nom} entraîne {competence} : potentiel {potentiel} (−{cout} or)"
journal.entraine_refuse,pas assez d'or pour cet entraînement
journal.entraine_plafond,le potentiel est déjà au plafond
ui.gestion.commande,"commande : {espece} couleur {couleur} motif {motif}{chatoyant} — {or} or (livrer à un marchand)"
ui.gestion.commande_aucune,commande : aucune (le registre est vide)
ui.ecran.livrer,Livrer la commande (Z)
journal.commande,"un collectionneur demande : {espece} couleur {couleur} motif {motif}{chatoyant} — {or} or"
journal.commande_livree,"commande livrée : {or} or"
journal.commande_manque,tu n'as pas le spécimen demandé
journal.commande_bourse,le marchand n'a pas l'or de la commande
ui.carte.survol,"({x},{y}) · {biome} · danger {danger}"
ui.carte.survol_region," · {region}, {continent}"
ui.carte.survol_gouffre,"  ·  LE GOUFFRE — sans fond, libre d’accès ; un étage vidé le reste"
ui.carte.survol_derive," · dérive {d}"
ui.carte.survol_lieu," · lieu : {a} {pa} % · {b} {pb} %"
ui.carte.survol_royaume," · {nom}{capitale} — {gouv}, {taille}, {n} cellules · {etat}"
ui.carte.capitale," (capitale)"
ui.carte.vacance,trône vacant
ui.carte.mer,mer
ui.atelier.ingredient,"      {coche} {nom} — ingrédient optionnel (Entrée : basculer)"
ui.recette.optionnel," (optionnel)"
ui.recette.harmonie,"Vecteur prévu : {vecteur} — harmonie {harmonie}"
ui.recette.harmonie_oui,"×1,2 : les cinq éléments"
ui.recette.harmonie_non,"aucune ({n}/5 éléments)"
journal.naissance,"{village} : {nom} met au monde un enfant"
journal.vacance_guilde,"le hall de la {guilde} n'a plus de maître"
journal.succession_guilde,"{nom} devient maître de la {guilde}"
journal.succession_heritier,"{royaume} : {nom}, héritier, monte sur le trône"
ui.dialogue.titre," — {titre}"
ui.dialogue.famille,"famille : {texte}"
famille.conjoint,conjoint(e) de {nom}
famille.enfant,enfant de {nom}
famille.parent,parent de {n} enfant(s)
ui.ecran.registre,"REGISTRE — {n} variétés · {especes}/{total} espèces · paliers : {paliers}"
ui.registre.espece,"{nom} — {mode} · {n}/{possibles} variétés{records}"
ui.registre.aucun,aucune espèce au registre — capture (Y) ou couvée
ui.registre.grille_ligne,"couleur {c} : motifs {motifs}"
ui.registre.variete,"  variété : {v}"
ui.registre.sequence,"  rythme : {s}"
ui.registre.record," · record {locus} {v}"
ui.registre.paliers_aucun,aucun
palier.potentiel,+10 de potentiel en Élevage
palier.eclosion,éclosions plus rapides
palier.potentiel_vie,+10 de potentiel sur la branche Vie
palier.commande_mult,les collectionneurs paient double
palier.commande_pct,commandes mieux payées
palier.capture,captures +{n}
palier.couvees,couvées +{n}
palier.bestiaire,bestiaire complet
ui.ecran.planter,Planter (H) — sur une tuile libre voisine d'une cellule Champs
journal.harmonie,"assiette harmonieuse : les cinq éléments (×1,2)"
ui.objet.harmonie," · harmonie ×{n}"
species.chat.name,Chat des ruelles
species.coquillage.name,Coquillage nacré
recipe.filer_soie.name,Filer la soie (tue la chrysalide)
species.serpent.name,Serpent des dunes
species.ver_a_soie.name,Ver à soie
species.luciole.name,Luciole des haies
species.poisson_de_bassin.name,Truite d'étang
meuble.bassin.name,Bassin
raison.colonie,"il faut {n} spécimens dans l'habitat"
species.ruche.name,Ruche
species.tortue.name,Tortue des marais
species.phalene.name,Phalène du bouleau
meuble.terrarium.name,Terrarium
meuble.clayette.name,Clayette à vers
meuble.rucher.name,Rucher
meuble.etai.name,Étai
meuble.enclos.name,Enclos
item.miel.name,Miel
journal.production_colonie,"{espece} : {n} {item} au stock"
journal.capture_appat,il faut un appât dans le sac ({appat})
journal.capture_nuit,ce piège ne prend que la nuit
species.carpe.name,Carpe de bassin
meuble.vivarium.name,Vivarium
item.specimen.name,Spécimen
saison.printemps,printemps
saison.ete,été
saison.fin_ete,fin d'été
saison.automne,automne
saison.hiver,hiver
journal.capture_reussie,"{nom} capture {espece} (couleur {couleur}, motif {motif})"
journal.capture_ratee,"le filet remonte vide ({jet} contre {dd})"
journal.capture_rien,pas d'eau à portée du filet
journal.couvee,"{espece} : une couvée de {n} (couleur {couleur}, motif {motif})"
journal.couvee_refusee,"{espece} : pas de couvée — {raison}"
raison.habitat,il faut un {v}
raison.place,plus de place
raison.temperature,"{temp} °C, il en faut entre {min} et {max}"
raison.saison,pas la saison
raison.sexe,il faut un mâle et une femelle
raison.age,trop jeunes
raison.stat,{k} insuffisante
raison.ressource,il faut {n} {k}
raison.espece,espèces différentes
ui.gestion.elevage,"élevage : {n} variétés au registre ({especes})"
ui.ecran.capturer,Filet (Y) — capturer sur une tuile d'eau voisine
guilde.chasseurs.name,Guilde des Chasseurs
guilde.mages.name,Cercle des Mages
guilde.enchanteurs.name,Guilde des Enchanteurs
guilde.transporteurs.name,Guilde des Transporteurs
guilde.batisseurs.name,Guilde des Bâtisseurs
guilde.prospecteurs.name,Guilde des Prospecteurs
guilde.artisans.name,Guilde des Artisans
guilde.alchimistes.name,Guilde des Alchimistes
guilde.marchands.name,Guilde des Marchands
guilde.eclaireurs.name,Guilde des Éclaireurs
guilde.cuisiniers.name,Confrérie des Cuisiniers
boutique.forgeron.name,Forgeron
boutique.armurier.name,Armurier
boutique.alchimiste.name,Alchimiste
boutique.epicier.name,Épicier
boutique.tailleur.name,Tailleur
boutique.herboriste.name,Herboriste
function.maitre_de_guilde.name,Maître de guilde
creature.maitre_de_guilde.name,Maître de guilde
meuble.hall_de_guilde.name,Hall de guilde
quest.traque.text,Traquer {count} bêtes pour la Guilde des Chasseurs
quest.purge.text,Purger le donjon voisin pour les Prospecteurs
journal.hall_pose,"un hall de la {guilde} : son maître s'installe"
journal.hall_refuse,il faut le rang Adepte dans une guilde pour bâtir un hall
journal.hall_demonte,"le maître de la {guilde} s'en va"
ui.dialogue.boutique," — {boutique}"
ui.dialogue.guilde," — {guilde}"
item.oeil.name,Œil
item.potion_perception.name,Potion de perception
status.potion_perception.name,Potion de perception
status.potion_perception_forte.name,Potion de perception forte
item.peau.name,Peau
item.potion_endurance.name,Potion de vigueur
status.potion_endurance.name,Potion de vigueur
status.potion_endurance_forte.name,Potion de vigueur forte
item.griffe.name,Griffe
item.potion_force.name,Potion de force
status.potion_force.name,Potion de force
status.potion_force_forte.name,Potion de force forte
item.dent.name,Dent
item.potion_dexterite.name,Potion de dextérité
status.potion_dexterite.name,Potion de dextérité
status.potion_dexterite_forte.name,Potion de dextérité forte
item.os.name,Os
item.potion_volonte.name,Potion de volonté
status.potion_volonte.name,Potion de volonté
status.potion_volonte_forte.name,Potion de volonté forte
ui.ecran.conquerir,Conquérir ce village
journal.conquete_gardes,"les gardes tiennent encore ({gardes} contre {seuil}) — affaiblis-les d'abord"
journal.conquete_reussie,"{village} passe sous ta bannière ({jet} contre DD {dd})"
journal.conquete_echec,"{village} te repousse ({jet} contre DD {dd}) : ses défenses se renforcent"
journal.conquete_liberation,"{royaume} : libération saluée (+{n})"
journal.conquete_agression,"{royaume} : agression ({n})"
journal.village_rendu,"{village} retourne à {royaume}"
journal.vacance,"{royaume} : le trône est vacant"
journal.succession,"{royaume} : {nom} prend la tête du royaume"
journal.vacance_prolongee,"{royaume} : personne pour reprendre le trône"
journal.repeuplement,"{village} : un nouvel habitant s'installe"
journal.village_abandonne,"{village} est abandonné"
function.dirigeant.name,Dirigeant
ui.gestion.voisin,"{nom} ({gouv}, {n} cellules) — réputation {rep} · relation {rel} · accord : {accord}"
ui.gestion.voisin_aide,Choisir : proposer l'accord suivant (commercial ≥ 20 · non-agression ≥ 40 · alliance ≥ 60 · tribut)
accord.aucun,aucun
accord.commercial,accord commercial
accord.non_agression,non-agression
accord.alliance,alliance défensive
accord.tribut_paie,tribut versé
accord.tribut_recoit,tribut reçu
relation.hostile,hostile
relation.tension,tension
relation.neutre,neutre
relation.cordial,cordial
relation.allie,allié
journal.accord,"{nom} accepte : {accord}"
journal.accord_refuse,"{nom} refuse : {accord} (réputation insuffisante ou régime incompatible)"
journal.tribut,"tribut : {n} or ({sens})"
tribut.verse,versé
tribut.recu,reçu
journal.infraction,"{royaume} : {loi} — {consequence} {detail}"
loi.meurtre,meurtre
loi.vol,vol
loi.objet,"objet interdit ({objet})"
consequence.amende,amende
consequence.confiscation,confiscation
consequence.gardes_hostiles,les gardes te traquent
journal.infraction_ignoree,personne n'a rien vu
journal.douane,"douane : {pct} % sur {objet}"
journal.douane_interdit,"{objet} est interdit ici"
journal.raid_royaume,"les troupes de {nom} sont derrière ce raid"
ui.carte.royaume,"{nom} — {gouv}, {n} cellules"
kingdom.taille.hameau,hameau-État
kingdom.taille.cite,cité-État
kingdom.taille.petit,petit royaume
kingdom.taille.grand,grand royaume
government.monarchie_hereditaire.name,Monarchie héréditaire
government.republique_elue.name,République élue
government.theocratie.name,Théocratie
government.ploutocratie.name,Ploutocratie
government.dictature_militaire.name,Dictature militaire
government.anarchie.name,Anarchie
ai_profile.assaillant.name,Assaillant
meuble.tourelle.name,Tourelle
ui.gestion.royaume,"{statut} · gouvernance : {gouv}{transition} · défense {defense} · valeur {valeur} · dernier raid : {raid}"
ui.gestion.campement,campement
ui.gestion.royaume_statut,royaume
ui.gestion.transition," (→ {cible} dans {n} sem.)"
ui.gestion.aucun_raid,aucun
ui.gestion.raid,"force {force} vs défense {defense} — {issue} (pertes {perte} %)"
ui.gestion.victoire,repoussé
ui.gestion.defaite,subi
ui.gestion.gouv_aide,"G : changer de gouvernance (4 semaines de transition, −10 d'humeur)"
journal.royaume_fonde,"ton territoire est reconnu comme un royaume — gouvernance : {gouv}"
journal.gouvernance,"transition vers {gouv} : 4 semaines, la population grogne (−10)"
journal.gouvernance_faite,"le régime est désormais : {gouv}"
journal.gouvernance_refuse,"il faut un royaume (8 cellules, 5 résidents) pour changer de régime"
journal.raid_commence,"RAID ! {n} assaillants approchent du camp (force {force})"
journal.raid_abstrait,"un raid a frappé le territoire en ton absence : force {force} contre défense {defense} — {issue}"
journal.raid_fin,"le raid est terminé : {issue} ({morts}/{n} assaillants tombés)"
journal.raid_pertes,"pertes : {perte} % des stocks et de la caisse, {structures} structure(s) détruite(s)"
journal.raid_mineur,dégâts mineurs : quelques stocks piétinés
journal.raid_reveil,des cris te réveillent : le camp est attaqué
plant.ble.name,Blé
plant.framboisier.name,Framboisier
item.framboisier.name,Framboisier
plant.myrtillier.name,Myrtillier
item.myrtillier.name,Myrtillier
plant.vigne.name,Vigne
item.vigne.name,Vigne
plant.houblon.name,Houblon
item.houblon.name,Houblon
plant.camomille.name,Camomille
item.camomille.name,Camomille
plant.menthe.name,Menthe
item.menthe.name,Menthe
plant.sauge.name,Sauge
item.sauge.name,Sauge
plant.achillee.name,Achillée
item.achillee.name,Achillée
plant.ortie.name,Ortie
item.ortie.name,Ortie
plant.belladone.name,Belladone
item.belladone.name,Belladone
plant.champignon_des_pres.name,Champignon des prés
item.champignon_des_pres.name,Champignon des prés
plant.amanite.name,Amanite
item.amanite.name,Amanite
plant.fleurs_sauvages.name,Fleurs sauvages
item.fleurs_sauvages.name,Fleurs sauvages
plant.roseau.name,Roseau
item.roseau.name,Roseau
item.potion_soin.name,Potion de soin
item.potion_mana.name,Potion de mana
item.potion_charisme.name,Potion de charisme
status.potion_charisme.name,Potion de charisme
status.potion_charisme_forte.name,Potion de charisme (forte)
item.ble.name,Blé
plant.orge.name,Orge
item.orge.name,Orge
plant.carotte.name,Carotte
item.carotte.name,Carotte
plant.pomme_de_terre.name,Pomme de terre
item.pomme_de_terre.name,Pomme de terre
plant.chou.name,Chou
item.chou.name,Chou
plant.oignon.name,Oignon
item.oignon.name,Oignon
plant.citrouille.name,Citrouille
item.citrouille.name,Citrouille
plant.tomate.name,Tomate
item.tomate.name,Tomate
tile_content.culture.name,Parcelle
tile_content.culture_mure.name,Parcelle mûre
ui.gestion.boutique,"boutique : caisse {caisse} or · marge ×{marge} (+/−) · {etals} étal(s) · clients en attente {clients}"
ui.gestion.parcelles,"parcelles : {n} ({mures} mûres)"
journal.plante,"{nom} plante {plante}"
journal.planter_refuse,planter : il faut une tuile libre voisine dans une cellule Champs
journal.culture_mure,"une parcelle de {plante} est mûre"
journal.culture_pas_mure,la parcelle n'est pas mûre
journal.recolte_culture,"{nom} récolte {plante} ×{n}"
journal.fertilise,"parcelle fertilisée ({fertilite})"
journal.vente_boutique,"la boutique vend {objet} pour {n} or"
journal.caisse,"{nom} relève la caisse : {n} or"
journal.rapport_absence,"pendant ton absence : {ventes} ventes pour {or} or · {mures} parcelles mûries"
journal.troc,"{nom} est à sec : troc contre {objet}"
journal.marge,"marge de la boutique : ×{marge}"
function.mineur.name,Mineur
function.bucheron.name,Bûcheron
function.herboriste.name,Herboriste
ui.ecran.gestion,"TERRITOIRE — {n} cellules · {pnj} résidents · trésor {tresor} or · dette {dette} · prévisionnel {prev} or/semaine"
ui.gestion.cellule,"cellule ({x},{y}) — {role}{camp}"
ui.gestion.camp," · camp"
ui.gestion.resident,"{nom} — {fonction}{betail} · humeur {humeur} · {logement}"
ui.gestion.resident_detail,"rendement ×{facteur} · {poste}"
ui.gestion.poste_perimetre,"poste : {type} ({x},{y})"
ui.gestion.poste_cellule,"poste : cellule ({x},{y})"
ui.gestion.prod_rien,ne produit rien cette semaine
ui.gestion.prod_or,"production : {n} or par semaine"
ui.gestion.prod_matiere,"production : {nom} ×{n} par semaine"
ui.gestion.stock,"stock : {nom} ×{n}"
ui.gestion.rapport,{texte}
ui.gestion.role_aide,"Choisir : changer de rôle (base → habitation → champs → ressources naturelles ; ressources naturelles efface les constructions au passage de la semaine)"
ui.gestion.resident_aide,"Entrée : réassigner (choisir sa fonction) · Suppr : renvoyer"
ui.gestion.stock_aide,Choisir : retirer le stock dans ton sac
ui.ecran.deposer,Déposer 50 or (D)
ui.ecran.retirer,Retirer 50 or (W)
ui.ecran.assigner,Assigner ici (X)
ui.assigner.titre,"ASSIGNER {nom} — choisis sa fonction"
ui.assigner.fonction,"{fonction} · produit : {produit} · rendement de base {rendement}"
ui.assigner.rien,rien
ui.assigner.or_unite,"{n} or par unité"
role.base,base
role.habitation,habitation
role.champs,champs
role.ressources,ressources naturelles
journal.claim,"cellule ({x},{y}) revendiquée pour {or} or ({n} cellules)"
journal.claim_refuse,"impossible de revendiquer : non contiguë, inexplorée, en mer, occupée par un donjon ou un village"
journal.claim_or,pas assez d'or pour revendiquer ({or} or)
journal.role,"cellule ({x},{y}) : rôle {role}"
journal.assigne,"{nom} est assigné : {fonction}"
journal.station_refusee,pas de station lourde sur un champ
journal.desassigne,"{nom} n'est plus assigné"
journal.rapport_semaine,"rapport de la semaine : production {prod} · entretien {entretien} or · trésor {tresor} or · dette {dette} or"
journal.dette_palier,"dette d'entretien : {texte}"
dette.humeur,humeur −5
dette.productivite,productivité −25 %
dette.depart,{nom} a quitté le territoire
journal.depot,"{n} or déposés (trésor {tresor})"
journal.retrait,"{n} or retirés (trésor {tresor})"
journal.tresor_vide,le trésor est vide
journal.stock_retire,"{nom} ×{n} retirés du stock"
journal.taxe_guilde,"taxe de guilde : {n} or"
journal.royaume,"8 cellules et 5 résidents : ton campement est désormais un royaume aux yeux du monde"
item.ame.name,Âme d'un compagnon
status.affaibli.name,Affaibli
ui.ecran.recruter,Recruter (R)
ui.ecran.suiveur,Suis-moi sur le territoire (W)
ui.ecran.suiveur_stop,Reste à ton poste (W)
journal.suiveur_local,"{nom} te suivra sur le territoire"
journal.suiveur_fin,"{nom} ne quitte pas le territoire et rentre à son poste"
ui.ecran.suivre,Suis-moi (S)
ui.ecran.attendre,Attends ici (A)
ui.dialogue.compagnon,"compagnon · ordre : {ordre}"
ordre.suivre,suis-moi
ordre.attendre,attends ici
ui.ecran.posture,Posture : {posture} (F)
ui.ecran.retour,Retourne à la base (B)
ui.ecran.echanger,Échanger l'équipement (K)
ui.echange.titre,"Échange avec {nom}"
ui.echange.donner,"— ton sac (Entrée : donner) —"
ui.echange.reprendre,"— {nom} (Entrée : reprendre) —"
journal.echange_donne,"{nom} reçoit {objet}"
journal.echange_reprend,"{nom} rend {objet}"
journal.retour_impossible,il faut être dans la cellule du camp pour renvoyer quelqu'un à la base
ordre.agressive,posture agressive
ordre.defensive,posture défensive
ordre.eviter,évite les combats
ordre.retour,retourne à la base
ordre.repli,repli !
ui.ecran.repli,Repli ! (Y)
option.designer,Désigner aux compagnons
journal.cible_designee,"{nom} désigne {cible} à ses compagnons"
posture.agressive,agressive
posture.defensive,défensive
posture.eviter,évite
journal.recrute,"{nom} rejoint l'équipe ({places} places d'escorte)"
journal.pas_de_place,plus de place dans l'escorte
journal.pas_recrutable,{nom} ne te suivra pas (relation insuffisante)
journal.ordre,"{nom} : {ordre}"
journal.apprivoise,"{nom} est apprivoisé ! (jet {jet} ≥ {dd})"
journal.apprivoisement_rate,"{nom} résiste (jet {jet} < {dd})"
journal.deja_tente,{nom} : déjà tenté aujourd'hui
journal.pas_de_bete,il faut une bête adjacente à apprivoiser
journal.compagnon_mort,"{nom} est mort — son âme est dans ton sac ; un autel domestique peut le rappeler"
journal.ressuscite,"{nom} revient à la vie, affaibli ({or} or)"
journal.pas_d_autel,il faut un autel domestique adjacent et l'âme dans le sac
journal.mort_vieillesse,{nom} s'est éteint de vieillesse
ui.fiche.age,"{genre} · {age} ans ({categorie}) · signe {signe} · niveau ≈ {niveau}"
age.jeune,jeune
age.adulte,adulte
age.age,âgé
quest.chasse_prime.text,"Éliminez {count} brigands ou bêtes hostiles aux alentours."
quest.chasse_bete.text,"Abattez {count} bêtes qui rôdent autour du village."
quest.donjon.text,"Videz le donjon voisin : vainquez ce qui y règne."
rang.novice,Novice
rang.compagnon,Compagnon
rang.adepte,Adepte
rang.expert,Expert
rang.maitre,Maître
guilde.guerriers.name,Guilde des Guerriers
ui.ecran.quetes,Quêtes (Q)
ui.quetes.titre,"QUÊTES — {nom} · {guilde} : {rang} ({xp} XP)"
ui.quetes.offerte,[offerte] {texte}
ui.quetes.en_cours,"[{fait}/{count}] {texte}"
ui.quetes.terminee,[à rendre] {texte}
ui.quetes.aucune,  (rien à proposer cette semaine)
ui.quetes.refus,  (il ne vous confie rien : réputation trop basse)
ui.ecran.accepter,Accepter (Entrée)
ui.ecran.rendre,Rendre (Entrée)
ui.quetes.recompense,"récompense : {or} or · {xp} XP de guilde"
journal.quete_acceptee,"quête acceptée : {texte}"
journal.quete_progres,"quête : {fait}/{count}"
journal.quete_rendue,"quête rendue : +{or} or, +{xp} XP ({guilde})"
journal.rang_guilde,"{guilde} : tu es maintenant {rang}"
faction.gardiens_des_bois.name,Gardiens des bois
faction.compagnies_de_metier.name,Compagnies de métier
faction.gens_d_armes.name,Gens d'armes
faction.petit_peuple.name,Petit peuple
faction.cercle_du_soufre.name,Cercle du soufre
journal.reputation,"{nom} : relation {pnj} · {village} : {rep}"
journal.rumeur,"{nom} te confie une rumeur : quelque chose en ({x},{y})"
journal.hostile_a_vue,{nom} te traite en ennemi
ui.fiche.apparence,Un inconnu. On ne sait rien de lui.
ui.fiche.base,"{nom} · {fonction} · {village}"
ui.fiche.competences,compétences : {liste} · équipement : {equip}
ui.fiche.gouts,aime : {tags}
ui.fiche.tout,historique complet · recrutable
genre.m,homme
genre.f,femme
creature.cerf.name,Cerf
creature.renard.name,Renard
ai_profile.proie.name,Proie
function.oisif.name,Villageois
function.fermier.name,Fermier
function.artisan.name,Artisan
function.eleveur.name,Éleveur
function.cuisinier.name,Cuisinier
function.couturier.name,Couturier
function.transporteur.name,Transporteur
function.commercant.name,Commerçant
function.garde.name,Garde
function.dirigeant.name,Dirigeant
function.aventurier.name,Aventurier
creature.villageois.name,Villageois
creature.etranger.name,Étranger
creature.fermier.name,Fermier
creature.forgeron.name,Forgeron
creature.marchand.name,Marchand
creature.garde_village.name,Garde de village
ai_profile.civil.name,Civil
ai_profile.garde.name,Garde
dialogue.salut.text,"Bonjour, voyageur. Le temps est calme par ici."
dialogue.meteo_pluie.text,"Cette pluie n'en finit pas… restez au sec."
dialogue.meteo_orage.text,"Un orage pareil, on ferme les volets."
dialogue.meteo_neige.text,"La neige tient. Couvrez-vous."
dialogue.nuit.text,"Vous marchez de nuit ? Les loups aussi."
dialogue.aube.text,"Le jour se lève à peine. Tôt levé, comme moi."
dialogue.soir.text,"La journée a été longue. Le repas m'attend."
dialogue.donjon.text,"On dit que la ruine, là-bas, n'a jamais été vidée."
dialogue.inconnu.text,"Je ne vous connais pas. Restez à distance."
dialogue.connaissance.text,"Ah, c'est vous. Que puis-je pour vous ?"
dialogue.ami.text,"Mon ami ! Asseyez-vous, racontez-moi vos voyages."
dialogue.rumeur.text,"Un colporteur parlait d'un filon plus au nord… enfin, ce sont des rumeurs."
dialogue.faim.text,"Vous avez l'air affamé. Le marchand vend du pain."
dialogue.village.text,"Petit hameau, mais on y vit bien."
dialogue.corruption.text,"Les nuits sont de plus en plus mauvaises par ici."
dialogue.travail.text,"Le travail ne manque pas. Il manque des bras."
dialogue.marchand_1.text,"Regardez ma marchandise, tout est de qualité."
dialogue.marchand_2.text,"J'achète aussi, si vous avez quelque chose à vendre."
dialogue.marchand_3.text,"Les prix montent avec le danger, ce n'est pas moi qui les fais."
dialogue.forgeron_1.text,"La forge chauffe depuis l'aube."
dialogue.forgeron_2.text,"Du bon fer, c'est tout ce que je demande."
dialogue.forgeron_3.text,"Un manche en frêne, rien ne vaut ça."
dialogue.garde_1.text,"Circulez. Pas d'ennuis ici."
dialogue.garde_2.text,"Les bandits rôdent au-delà des champs. Je veille."
dialogue.garde_3.text,"La nuit, restez près des feux."
dialogue.fermier_1.text,"La terre est bonne cette année."
dialogue.fermier_2.text,"Un sanglier a encore retourné mon champ."
dialogue.fermier_3.text,"Il faudrait de la pluie."
ui.or,or {n}
ui.ecran.dialogue,"{nom} — {fonction}"
ui.ecran.parler,Parler (P)
ui.ecran.commercer,Commercer (C)
ui.ecran.partir,Partir (Échap)
ui.dialogue.relation,relation {n}
ui.ecran.commerce,"COMMERCE — {nom} · sa bourse : {or} or · la tienne : {joueur} or"
ui.ecran.acheter,Acheter (Entrée)
ui.ecran.vendre,Vendre (Entrée)
ui.commerce.stock,— À VENDRE —
ui.commerce.sac,— TON SAC (il achète à {pct} %) —
ui.commerce.detail_achat,"Il en demande {prix} or — tu as {or} or"
ui.commerce.detail_vente,"Il te donnerait {prix} or"
ui.prix.detail,"prix suggéré {prix} or = matériaux {base} × marge {marge} × qualité {qualite} × rareté {rarete} × réputation {rep}"
ui.prix.achat,il t'en donne {n} or
ui.prix.vente,il le vend {n} or
journal.parle,"{nom} : « {texte} »"
journal.relation,"{nom} t'apprécie un peu plus (relation {n})"
journal.achete,"{nom} achète {objet} pour {n} or"
journal.vend,"{nom} vend {objet} pour {n} or"
journal.pas_assez_or,pas assez d'or
journal.marchand_a_sec,{nom} n'a plus d'or pour acheter
journal.village,"un hameau : {nom}"
ui.village,{nom}
weather.clair.name,Ciel clair
weather.nuageux.name,Nuageux
weather.brouillard.name,Brouillard
weather.pluie.name,Pluie
weather.orage.name,Orage
weather.neige.name,Neige
weather.vent_fort.name,Vent fort
weather.tempete.name,Tempête
weather.blizzard.name,Blizzard
weather.canicule.name,Canicule
ui.heure,"{heure} h · {phase} · {saison} · {meteo} · {temp} °C{confort}"
ui.lieu,"lieu : {a} {pa} % · {b} {pb} %"
ui.atelier.niveau_recette,(niveau {n})
ui.raid,"RAID : {n} assaillant(s) · le plus proche à {dist} tuiles · {ticks} ticks avant leur retrait"
phase.aube,aube
phase.jour,jour
phase.crepuscule,crépuscule
phase.nuit,nuit
ui.confort.froid," · FROID"
ui.confort.chaud," · CHALEUR"
journal.meteo,"le temps change : {meteo}"
journal.meteo_annonce,"le ciel annonce pour demain : {meteo}"
journal.froid,{nom} souffre du froid
journal.chaud,{nom} souffre de la chaleur
journal.dort_nuit,"{nom} dort jusqu'à l'aube"
journal.semaine,"une semaine passe : la corruption dérive ({n} cellules)"
journal.donjon_nettoye,"le donjon est nettoyé : il restera ouvert un jour et demi"
journal.donjon_disparu,"l'entrée du donjon s'est effondrée en ({x},{y})"
journal.donjon_reapparu,"un donjon est réapparu en ({x},{y})"
ui.carte.titre,"=== CARTE DU MONDE — flèches : marcher de cellule en cellule · Maj + flèches : faire défiler · clic : marcher jusqu'à cette cellule, ou revendiquer une voisine · clic droit : faire glisser · Échap : fermer"
ui.carte.depart,=== CHOISIS TA CASE DE DÉPART — clic sur une cellule de terre (couleur : biome · orange/rouge : danger · carré doré : donjon · anneau noir : le gouffre) ===
ui.carte.legende,"trait ocre : route · vert cerclé : ton camp · bleu cerclé : ici · carré doré : donjon · anneau noir : le gouffre · point clair : filon majeur · sombre : jamais explorée"
journal.voyage,"{nom} voyage jusqu'en ({x},{y}) : {ticks} ticks"
journal.voyage_impossible,voyage impossible : cellule inexplorée ou en mer
journal.depart_choisi,"le camp est établi en ({x},{y}) — {biome}"
journal.sauvegarde,partie sauvegardée ({nom})
journal.sauvegarde_impossible,on ne sauvegarde qu'en surface (au camp ou à pied)
journal.chargement,partie chargée
journal.pas_de_sauvegarde,aucune sauvegarde
biome.desert_de_cendres.name,Désert de cendres
